rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
722,01/04/1973,144,36,109,236DEC,12/31/1995,A,1.08,1.22,"719,911","70,931","56,300","548,366",0,"265,591","325,101","106,902",0,"244,406",0,"244,406",0,0,0,"224,188","224,188",0,24,3,0,0,"244,406",173,139,34,0,0,0,173,0,0,0,0,2.03,0,76,24,67,4,2,0
723,05/09/1972,383,122,50,SEC236,12/31/1995,A,1,1.12,"625,896","113,424","9,478","502,565",0,"235,966","281,654","70,187",0,"277,800",0,"277,800",0,0,0,"266,650","266,650",0,12,3,0,"688,248","277,800",250,63,187,0,0,0,250,0,0,7,0,2,0,50,150,50,0,0,0
744,07/10/1974,353,149,156,SEC13A,12/31/1995,A,1.18,1.11,"385,054",0,"6,223","322,262",0,"265,707","300,281","60,390",0,"176,251","2,400","173,851","1,600",0,0,"123,200","121,600","1,600",10,3,1,"130,359","177,851",148,37,111,0,0,0,148,0,0,0,0,1.74,19,43,56,18,12,0,0
745,5/30/1974,781,122,50,M2WDEC,12/31/1995,A,1.25,1.22,"263,413","44,246","8,367","168,033",0,"105,362","120,093","28,458","5,203","133,117","74,528","58,589",0,0,800,"59,760","59,760",0,4,3,0,"225,204","133,917",64,62,2,0,0,0,64,0,0,0,0,1.88,0,16,40,8,0,0,0
746,12/18/1973,9,36,109,M2W,12/31/1995,A,1.25,1.35,"380,465","43,595","1,336","267,957",0,"147,431","155,182","46,125",0,"129,188","11,375","117,813",0,0,"2,678","103,198","103,198",0,11,2,0,"627,264","131,866",108,108,0,0,0,0,108,0,0,0,0,1.94,0,26,66,12,4,0,0
748,4/15/1975,584,5,80,SEC13A,12/31/1995,B,1.94,0,"31,752",0,"1,007","15,808",0,0,0,0,0,"7,921",0,"7,921",0,0,0,"6,900","6,900",0,1,2,0,"15,126","7,921",6,2,4,0,0,0,6,0,0,0,0,2,0,0,6,0,0,0,0
749,9/18/1973,1283,128,132,SEC236,12/31/1995,A,1.19,1.47,"311,359","45,806","4,990","219,426",0,"188,000","162,662","34,984",0,"79,848",0,"79,848",0,0,0,"78,136","78,136",0,0,3,0,0,"79,848",116,58,58,0,0,116,0,0,0,10,0,1.09,0,106,10,0,0,0,0
751,11/30/1972,1208,76,139,RADDEC,12/31/1995,B,1.02,0.79,"3,132,362","671,025","21,455","2,389,643",0,"1,487,226","2,374,266","501,977",0,"1,345,493","20,000","1,325,493",1,0,0,"1,053,733","1,053,732",1,64,13,7,"2,996,828","1,345,494","1,213",300,913,0,0,450,763,0,0,62,0,1.75,0,562,423,203,25,0,0
752,11/19/1974,45,93,140,SEC13A,12/31/1995,F,0.8,0.79,"353,420","100,000","9,840","303,109",0,"653,417","886,568","58,315",0,0,0,0,0,0,0,"124,903","124,903",0,20,2,0,"1,768,162","153,750",145,130,15,0,0,72,73,0,0,7,0,1.8,0,72,38,27,8,0,0
753,6/26/1975,158,79,32,SEC13A,12/31/1995,A,1.41,1.71,"665,994","48,181","55,882","398,857",0,"220,556","211,143","82,400",0,"169,000",0,"169,000",0,0,0,"150,000","150,000",0,26,2,0,"1,488,880","169,000",200,50,150,0,0,200,0,0,0,13,0,1.25,0,150,50,0,0,0,0
